question,answer
"сколько деревьев спасает тонна макулатуры","17 взрослых деревьев."
"почему батарейки нельзя выбрасывать","Одна батарейка загрязняет 20 м² земли тяжёлыми металлами."
"как долго разлагается пластик","450-1000 лет в зависимости от типа."
"что такое микропластик","Частицы меньше 5 мм, накапливающиеся в воде и организме человека."
"почему сжигание мусора вредно","Выделяет диоксины, вызывающие рак и мутации."
"как отходы влияют на здоровье","Токсины попадают в воду/воздух, вызывая аллергии и болезни лёгких."
"что такое углеродный след мусора","Количество CO₂, выделяемое при производстве и утилизации товара."
"какую страну называют королём переработки","Швецию — они перерабатывают 99% отходов и импортируют мусор."
"что делают из переработанных покрышек","Беговые дорожки, футбольные поля и асфальт."
"как грибы помогают переработке","Некоторые виды разлагают пластик за 3 месяца."
"что такое пластиковые дороги","Дороги из переработанного пластика в 10 раз долговечнее асфальта."
"как дроны следят за свалками","Обнаруживают незаконные свалки с помощью тепловизоров."
"что делают из переработанных рыболовных сетей","Ковры, спортивную одежду и даже очки."
"как блокчейн используют в переработке","Для отслеживания цепочки движения вторсырья."
"что такое эко-кирпичи","Пластиковые бутылки, набитые другим мусором для строительства."
"как ИИ сортирует мусор","Нейросети распознают типы материалов с точностью до 95%."
"что делают из переработанных CD-дисков","Солнечные панели и детали для автомобилей."
"что такое расширенная ответственность производителей","Обязанность компаний утилизировать упаковку своих товаров."
"как работает залоговая система","Доплата за тару, возвращаемая при сдаче на переработку."
"что такое экологический сбор","Платеж производителей на развитие перерабатывающей инфраструктуры."
"как организовать раздельный сбор в офисе","Поставить контейнеры с понятной маркировкой и инструкцией."
"что такое greenwashing","Обман о "экологичности" продукта без реальных оснований."
"как отличить биоразлагаемый пластик","Ищите маркировки: OK compost, Seedling или ГОСТ Р 54530-2011."
"почему в Японии 10+ категорий мусора","Для максимального извлечения вторсырья — их уровень переработки 65%."
"что такое жизненный цикл продукта","Анализ эковоздействия от производства до утилизации."
"как работают фандоматы","Автоматы принимают тару, взвешивают и выдают вознаграждение."
"что такое RDF-топливо","Топливо из отходов для цементных заводов."
"как сделать компост на балконе","Используйте герметичный контейнер с бактериями и регулярно перемешивайте."
"что нельзя класть в домашний компост","Мясо, молочку и цитрусы — они вызывают гниение."
"как уменьшить мусор от покупок","Используйте многоразовые мешочки для круп и овощей."
"чем заменить пищевую плёнку","Восковыми салфетками или силиконовыми крышками."
"как стирать без микропластика","Используйте мешок Guppyfriend или выбирайте натуральные ткани."
"что такое zero waste косметика","Средства в перерабатываемой упаковке или вообще без неё."
"как хранить продукты без пластика","В стеклянных банках, экомешочках или beeswax wraps."
"чем опасны капсулы для кофе","Алюминиевые и пластиковые капсулы сложно перерабатывать."
"как выбрать экологичную зубную щётку","С бамбуковой ручкой и сменными насадками."
"что делать с использованными батарейками","Сдавать в спецконтейнеры (часто есть в магазинах электроники)."
"как перерабатывают солнечные панели","Извлекают кремний, стекло и алюминий для повторного использования."
"что делают из старых ветряков","Лопасти — в стройматериалы, металл — на переплавку."
"как утилизируют электромобильные аккумуляторы","Разбирают для извлечения лития, кобальта и никеля."
"что такое пиролиз мусора","Разложение отходов без кислорода с получением газа и мазута."
"как работает мусоросжигательный завод","Сжигает мусор при 1000°C с фильтрацией выбросов и выработкой энергии."
"что делают из переработанных медицинских масок","Дорожное покрытие и пластиковые изделия."
"как перерабатывают бетон","Дробят в щебень для нового строительства."
"что такое urban mining","Добыча ценных материалов из городского мусора вместо рудников."
"как работают пневмомусоропроводы","Отходы всасываются вакуумом по подземным трубам."
"что делают из переработанных подгузников","Целлюлозу для бумаги и пластик для стройматериалов."
"как борются с мусором в Швейцарии","Штрафы до 300€ за неправильную сортировку и 99% переработки."
"что такое система deposit в Германии","Залог 0.25€ за тару, возвращаемый при сдаче."
"как в Японии сортируют мусор","На 10+ категорий с обязательной мойкой и расписанием вывоза."
"почему в Швеции нет свалок","Сжигают 50% мусора для энергии, остальное перерабатывают."
"что такое upcycling в дизайне","Создание более ценных вещей из мусора (например, мебель из паллет)."
"как в Южной Корее сократили мусор на 40%","Ввели обязательные биоразлагаемые пакеты и RFID-метки на мешках."
"что такое circular economy","Экономика замкнутого цикла, где отходы = ресурсы для нового производства."
"как в Сан-Франциско добились 80% переработки","Обязательный раздельный сбор и запрет одноразового пластика."
"что делает Норвегия с пластиковыми бутылками","Перерабатывает 97% через систему залоговых автоматов."
"как в Индии используют пластиковые отходы","Добавляют в асфальт — такие дороги служат в 3 раза дольше."
"как объяснить ребёнку про переработку","Сравните с Lego: из старых деталей можно построить новое."
"что сделать из коробки от хлопьев","Домик для кукол, органайзер или кормушку для птиц."
"как играть без пластиковых игрушек","Использовать деревянные игрушки или делать свои из картона."
"почему экопривычки — это круто","Это как быть супергероем, который спасает планету."
"что такое экологический след","Отпечаток, который каждый оставляет на Земле своими действиями."
"как устроить eco-friendly день рождения","Многоразовая посуда, подарки без упаковки и handmade украшения."
"что делать с старыми карандашами","Сделать рамку для фото или мини-горшки для суккулентов."
"как сделать копилку из бутылки","Разрезать, украсить и использовать для сбора монет."
"почему нельзя выбрасывать игрушки","Их можно отдать другим детям или переделать во что-то новое."
"что такое green school","Школа, где учат беречь природу и сортировать мусор."
"можно ли переработать воздушные шарики","Нет — латекс разлагается 4 года, а фольгированные вообще не перерабатываются."
"что делать с прокладками и тампонами","Только утилизировать — существуют специальные контейнеры."
"как утилизировать контактные линзы","Некоторые бренды (Bausch+Lomb) принимают на переработку."
"почему нельзя сдавать ламинированную бумагу","Пластиковый слой мешает переработке целлюлозы."
"что делать с вощёной бумагой","Только компостировать — воск не отделяется при переработке."
"можно ли переработать наклейки на фруктах","Нет — это термобумага с клеем, её нужно выбрасывать."
"как утилизировать сигаретные окурки","Специальные пункты приёма превращают их в пластиковые плиты."
"что делать с использованными салфетками","Компостировать (если нет синтетики) или выбрасывать."
"можно ли переработать термобумагу (чеки)","Нет — она содержит бисфенол А, опасный для переработки."
"что делать с использованными подгузниками","Специальные заводы стерилизуют и перерабатывают в стройматериалы."
